Title,Id,Year,Duration,Maturity Rating,Genre,Synopsis
The Innocents,80184405,2018,1,18+ ,TV Shows,Runaway teen lovers June and Harry find themselves swept up in a dangerous and confusing new world when June begins to display mysterious abilities.
Neo Yokio,80152350,2017,2,18+ ,TV Shows,"Joined by his faithful mecha-butler, Kaz Kaan pursues love, fashion and supernatural forces amid Neo Yokio's sinister high society."
Re:Mind,80198794,2017,1,18+ ,TV Shows,"Eleven high school classmates awaken, restrained to a large dining room. While fearing for their lives, they question a motive to this bizarre act."
Chasing Cameron,80116839,2016,1,16+ ,"Reality, Variety & Talk Shows",Go behind the scenes with social media sensation Cameron Dallas as he takes his career to the next level on an international tour.
The Judgement,80241877,2018,1,18+ ,TV Shows,"After a traumatic incident at a party makes her a target of gossip and derision, a young college student tries to change her school's toxic culture."
Blazing Transfer Students,80175822,2017,1,16+ ,TV Shows,"Featuring the boys of Johnny's West, a gang of zany transfer students are recruited for a mysterious mission ordained by their shadowy principal."
On Children,81000509,2018,1,18+ ,TV Shows,"These uncanny tales reveal a world where individuals face the tragic consequences of social pressure, parental oppression and family dysfunction."
MINDHUNTER,80114855,2017,2,16+ ,TV Shows,In the late 1970s two FBI agents expand criminal science by delving into the psychology of murder and getting uneasily close to all-too-real monsters.
Bodyguard,80235864,2018,1,18+ ,TV Shows,"After helping thwart a terrorist attack, a war veteran is assigned to protect a politician who was a main proponent of the very conflict he fought in."
The Haunting of Hill House,80189221,2018,1,18+ ,TV Shows,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it."
The Sinner,80175802,2017,2,18+ ,TV Shows,"When a chilling murder sends shockwaves through a small town, a haunted detective's hunt for answers unravels a web of sinister secrets."
Manhunt,80176878,2017,1,16+ ,TV Shows,"Faced with few clues and an increasingly panicked public, the FBI calls on a new kind of profiler to help track down the infamous Unabomber."
The Gift,81037848,2019,1,16+ ,TV Shows,A painter in Istanbul embarks on a personal journey as she unearths universal secrets about an Anatolian archaeological site and its link to her past.
The Alienist,80149395,2018,1,18+ ,Period Pieces,"In 1896 New York City, psychologist Laszlo Kreizler is enlisted by Police Commissioner Theodore Roosevelt to catch a killer preying on homeless boys."
High Seas,80233258,2019,2,18+ ,TV Shows,Two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from Spain to Brazil in the 1940s.
Perfume,80200596,2018,1,18+ ,TV Shows,"When a singer is found murdered, with her scent glands excised from her body, detectives probe a group of friends who attended boarding school with her."
The Order,80238357,2019,1,16+ ,TV Shows,"Out to avenge his mother's death, a college student pledges a secret order and lands in a war between werewolves and practitioners of dark magic."
The Ghost Bride,80241234,2020,1,16+ ,Period Pieces,"In 1890s Malacca, Li Lan finds herself in the afterlife and becomes mired in a mystery linked to the sinister, deceased son of a wealthy family."
The OA,80044950,2016,2,18+ ,TV Shows,"Seven years after vanishing from her home, a young woman returns with mysterious new abilities and recruits five strangers for a secret mission."
Glitch,80108495,2015,3,18+ ,Award-Winning TV Shows,A police officer and a doctor face an emotionally charged mystery when seven local residents inexplicably return from the dead in peak physical form.
Black,80214013,2017,1,18+ ,TV Shows,"A Grim Reaper, a detective and a woman who foresees death get ensnared in matters of life and death -- and dark mysteries of twenty years past."
Evil Genius: the True Story of America's Most Diabolical Bank Heist,80158319,2018,1,18+ ,Documentaries,This baffling true crime story starts with the grisly death of a pizza man who robs a bank with a bomb around his neck -- and gets weirder from there.
Scream,80053653,2015,2,18+ ,TV Shows,Memories of a town's dark past are stirred when a group of teenagers is targeted by a masked slasher in this serialized anthology series.
The Indian Detective,80190279,2017,1,16+ ,TV Shows,"In this crime dramedy, a suspended Canadian cop visits his father in Mumbai and assists in investigating a huge criminal operation with links to home."
Dirk Gently's Holistic Detective Agency,80119426,2016,2,18+ ,TV Shows,"Eccentric amateur sleuth Dirk and his grudging assistant Todd make their way haphazardly through tangled, dangerous supernatural mysteries."
Black Spot,81079046,2017,2,18+ ,TV Shows,A police chief and an eccentric new prosecutor investigate a string of grisly crimes and eerie phenomena in an isolated town at the edge of a forest.
The A List,80196382,2018,1,13+ ,TV Shows,"Romance, rivalry and radical mystery collide as a group of teens attend a remote island sleepaway camp in this suspenseful, supernatural drama."
Slasher,80105452,2017,3,18+ ,Award-Winning TV Shows,Rampaging serial killers leave carnage in their wake as their next victims fight to stay alive in this horror anthology series.
Criminal: UK,80216172,2019,1,16+ ,TV Shows,"Within the walls of an interrogation room and with time running out, London investigators go after three suspects, each accused of a grievous crime."
Somewhere Between,80173623,2017,1,16+ ,TV Shows,"A local news producer is given one chance to relive a deadly week and stop a serial killer. If she fails, she'll lose her daughter forever."
Bloodline,80010655,2015,3,18+ ,TV Shows,"When the black sheep son of a respected family threatens to expose dark secrets from their past, sibling loyalties are put to the test."
The Frankenstein Chronicles,80161335,2015,2,18+ ,Period Pieces,"A detective tracks what seems to be a killer with a taste for dismemberment in 1827 London, but the case leads in a far more terrifying direction."
